student_id,event_id,department,semester,club_activity_level,registration_timing,attended,past_attendance_rate,past_events_count,event_date,topic,speaker_type,day_of_week,time_slot,duration_minutes,mode,exam_proximity,promotion_level,num_registrations
S1033,E1040,MECH,2,High,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1335,E1040,EEE,5,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1238,E1040,IT,2,Low,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1220,E1040,MECH,7,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1351,E1040,EEE,3,Medium,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1006,E1040,CSE,4,High,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1442,E1040,CIVIL,6,Low,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1106,E1040,IT,1,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1132,E1040,EEE,7,Low,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1202,E1040,ECE,4,High,Medium,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1360,E1040,CSE,6,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1243,E1040,CIVIL,6,Low,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1481,E1040,CSE,3,High,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1296,E1040,CSE,4,Medium,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1040,E1040,CIVIL,6,High,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1174,E1040,IT,6,Medium,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1476,E1040,IT,4,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1345,E1040,MECH,7,Medium,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1453,E1040,IT,5,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1244,E1040,CIVIL,3,Medium,Medium,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1367,E1040,ECE,5,High,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1291,E1040,EEE,2,High,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1392,E1036,CSE,1,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1478,E1036,EEE,5,High,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1077,E1036,IT,3,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1267,E1036,CSE,4,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1345,E1036,MECH,7,Medium,Medium,1,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1234,E1036,EEE,7,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1231,E1036,IT,2,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1060,E1036,EEE,8,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1300,E1036,IT,4,Medium,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1122,E1036,CSE,2,Low,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1331,E1036,ECE,5,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1110,E1036,MECH,7,High,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1334,E1036,CSE,3,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1031,E1036,MECH,1,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1444,E1036,IT,4,Low,Early,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1205,E1036,CSE,4,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1107,E1036,CSE,7,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1235,E1036,EEE,4,High,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1470,E1036,CSE,5,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1056,E1036,MECH,8,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1454,E1036,IT,7,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1246,E1036,IT,8,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1492,E1036,IT,8,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1288,E1036,IT,1,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1037,E1036,MECH,3,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1008,E1036,ECE,7,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1174,E1036,IT,6,Medium,Late,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1209,E1036,CIVIL,4,Medium,Early,1,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1286,E1036,CIVIL,8,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1161,E1036,CSE,7,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1466,E1036,IT,1,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1493,E1036,MECH,4,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1061,E1036,IT,3,High,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1166,E1036,MECH,7,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1240,E1036,CIVIL,6,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1431,E1036,IT,4,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1127,E1036,CIVIL,5,High,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1201,E1036,ECE,7,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1092,E1036,CIVIL,8,High,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1289,E1036,EEE,2,High,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1018,E1036,IT,6,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1340,E1036,MECH,7,Medium,Late,1,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1475,E1036,MECH,2,Medium,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1427,E1036,EEE,4,Low,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1436,E1036,EEE,1,High,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1011,E1036,MECH,3,High,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1474,E1036,CSE,6,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1258,E1036,CIVIL,8,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1495,E1036,CSE,5,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1412,E1036,CIVIL,2,High,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1304,E1036,MECH,5,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1441,E1036,CSE,2,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1210,E1036,ECE,5,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1372,E1036,EEE,3,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1052,E1036,ECE,2,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1087,E1036,CIVIL,3,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1410,E1036,ECE,2,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1023,E1036,EEE,6,High,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1319,E1036,CIVIL,5,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1409,E1036,CSE,6,Low,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1142,E1036,ECE,3,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1369,E1036,MECH,6,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1106,E1036,IT,1,Low,Late,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1178,E1036,IT,6,High,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1295,E1036,IT,8,Medium,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1042,E1036,CSE,2,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1395,E1036,MECH,6,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1297,E1036,EEE,5,Low,Medium,0,1.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1445,E1036,CSE,5,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1268,E1036,CSE,3,High,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1446,E1036,EEE,1,High,Late,1,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1399,E1036,MECH,8,Medium,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1090,E1036,EEE,1,High,Early,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1465,E1036,EEE,6,High,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1015,E1036,EEE,8,Low,Late,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1298,E1036,CIVIL,2,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1490,E1036,CSE,2,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1479,E1036,ECE,5,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1325,E1036,CSE,4,Low,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1482,E1036,IT,7,High,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1415,E1036,ECE,3,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1144,E1036,MECH,7,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1453,E1036,IT,5,Medium,Medium,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1335,E1036,EEE,5,Low,Early,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1269,E1036,ECE,8,Medium,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1158,E1036,EEE,6,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1291,E1036,EEE,2,High,Late,1,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1264,E1036,EEE,6,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1376,E1036,CIVIL,5,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1130,E1036,ECE,5,High,Early,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1363,E1036,CSE,2,High,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1382,E1036,ECE,7,Medium,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1285,E1036,CIVIL,4,Low,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1238,E1036,IT,2,Low,Early,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1488,E1036,IT,2,High,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1307,E1036,IT,8,Medium,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1419,E1036,EEE,2,Medium,Early,0,0.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1218,E1036,MECH,7,Medium,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1259,E1036,CSE,2,Medium,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1045,E1036,CIVIL,8,Low,Late,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1215,E1036,IT,1,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1028,E1036,EEE,4,High,Medium,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1328,E1036,MECH,3,Medium,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1330,E1036,CSE,4,Low,Medium,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1150,E1036,CSE,4,Medium,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1146,E1036,ECE,2,Medium,Late,1,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1491,E1036,CIVIL,7,Medium,Early,0,1.0,1,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1021,E1036,CSE,4,High,Early,0,0.5,0,2023-08-03,Data Science,Industry,Thursday,Afternoon (2-4 PM),120,Online,3,High,108
S1109,E1034,ECE,6,High,Late,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1306,E1034,MECH,7,Medium,Medium,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1497,E1034,EEE,5,High,Early,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1001,E1034,EEE,2,High,Late,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1160,E1034,IT,4,Medium,Early,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1111,E1034,EEE,5,Medium,Early,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1315,E1034,CIVIL,2,Medium,Medium,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1033,E1034,MECH,2,High,Early,0,0.0,1,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1399,E1034,MECH,8,Medium,Early,0,1.0,1,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1389,E1034,ECE,6,High,Early,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1494,E1034,CSE,6,Medium,Early,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1443,E1034,IT,2,Medium,Early,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1041,E1034,ECE,8,High,Late,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1244,E1034,CIVIL,3,Medium,Early,0,1.0,1,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1099,E1034,MECH,1,High,Early,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1375,E1034,IT,3,High,Medium,1,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1283,E1034,ECE,5,High,Medium,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1465,E1034,EEE,6,High,Early,0,0.0,1,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1103,E1034,CSE,2,Low,Medium,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1231,E1034,IT,2,High,Early,0,0.0,1,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
S1035,E1034,EEE,8,Medium,Late,0,0.5,0,2023-08-15,UI/UX Design,Industry,Tuesday,Evening (5-7 PM),150,Online,3,Low,42
