student_id,event_id,registration_timing,department,semester,club_activity_level,cgpa,event_date,topic,speaker_type,day_of_week,time_slot,duration_minutes,mode,exam_proximity,promotion_level,num_registrations,attended,past_attendance_rate,past_events_count
STU_0003,EVT_019,On-time,School of Business,8,High,7.24,2024-09-08,Sound Design,Faculty,Sunday,Morning (9-11 AM),120,Offline,2,Medium,97,0,0.0,2
STU_0003,EVT_032,Early,School of Business,8,High,7.24,2024-10-04,Entrepreneurship,Industry,Friday,Evening (5-7 PM),150,Offline,3,High,115,1,0.0,3
STU_0003,EVT_033,On-time,School of Business,8,High,7.24,2024-10-04,Product Management,Faculty,Friday,Morning (9-11 AM),60,Offline,1,Medium,67,0,0.25,4
STU_0003,EVT_042,On-time,School of Business,8,High,7.24,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,0.2,5
STU_0003,EVT_048,On-time,School of Business,8,High,7.24,2024-11-02,Design Thinking,Student,Saturday,Evening (5-7 PM),120,Offline,1,Medium,63,1,0.333,6
STU_0003,EVT_068,Late,School of Business,8,High,7.24,2024-12-30,Web Development,Faculty,Monday,Morning (9-11 AM),120,Online,2,Medium,41,0,0.429,7
STU_0003,EVT_070,On-time,School of Business,8,High,7.24,2025-01-10,Data Science,Faculty,Friday,Morning (9-11 AM),120,Online,3,Medium,119,1,0.375,8
STU_0003,EVT_073,Late,School of Business,8,High,7.24,2025-02-11,Sound Design,Faculty,Tuesday,Afternoon (2-4 PM),90,Offline,3,Low,100,0,0.444,9
STU_0003,EVT_085,Late,School of Business,8,High,7.24,2025-02-28,Branding & Identity,Student,Friday,Morning (9-11 AM),120,Offline,3,Medium,106,1,0.4,10
STU_0003,EVT_098,On-time,School of Business,8,High,7.24,2025-04-13,Cybersecurity,Faculty,Sunday,Afternoon (2-4 PM),150,Offline,2,Medium,89,0,0.455,11
STU_0004,EVT_001,On-time,School of Design,7,Medium,6.83,2024-07-19,Cloud Computing,Alumni,Friday,Afternoon (2-4 PM),180,Online,1,Medium,63,0,0.0,0
STU_0004,EVT_007,On-time,School of Design,7,Medium,6.83,2024-08-18,Digital Marketing,Alumni,Sunday,Afternoon (2-4 PM),60,Offline,1,Low,72,0,0.0,1
STU_0004,EVT_008,Early,School of Design,7,Medium,6.83,2024-08-22,Branding & Identity,Student,Thursday,Evening (5-7 PM),60,Offline,3,Medium,122,1,0.0,2
STU_0004,EVT_010,Late,School of Design,7,Medium,6.83,2024-08-23,Digital Marketing,Industry,Friday,Afternoon (2-4 PM),180,Offline,3,Medium,43,1,0.333,3
STU_0004,EVT_041,Late,School of Design,7,Medium,6.83,2024-10-21,Machine Learning,Faculty,Monday,Evening (5-7 PM),90,Online,2,Medium,101,0,0.5,4
STU_0004,EVT_048,Early,School of Design,7,Medium,6.83,2024-11-02,Design Thinking,Student,Saturday,Evening (5-7 PM),120,Offline,1,Medium,63,0,0.4,5
STU_0004,EVT_049,Late,School of Design,7,Medium,6.83,2024-11-04,AI & Deep Learning,Alumni,Monday,Evening (5-7 PM),120,Offline,3,High,83,0,0.333,6
STU_0004,EVT_051,On-time,School of Design,7,Medium,6.83,2024-11-08,AI & Deep Learning,Student,Friday,Afternoon (2-4 PM),90,Online,1,High,50,0,0.286,7
STU_0004,EVT_054,Early,School of Design,7,Medium,6.83,2024-11-10,Cybersecurity,Industry,Sunday,Morning (9-11 AM),90,Online,1,Medium,65,0,0.25,8
STU_0004,EVT_071,Late,School of Design,7,Medium,6.83,2025-01-19,Product Management,Alumni,Sunday,Afternoon (2-4 PM),90,Offline,2,Medium,92,0,0.222,9
STU_0004,EVT_074,Late,School of Design,7,Medium,6.83,2025-02-12,UI/UX Design,Faculty,Wednesday,Evening (5-7 PM),90,Offline,1,Low,124,1,0.2,10
STU_0004,EVT_075,On-time,School of Design,7,Medium,6.83,2025-02-12,Data Science,Student,Wednesday,Afternoon (2-4 PM),180,Offline,2,High,94,1,0.273,11
STU_0004,EVT_085,Late,School of Design,7,Medium,6.83,2025-02-28,Branding & Identity,Student,Friday,Morning (9-11 AM),120,Offline,3,Medium,106,1,0.333,12
STU_0005,EVT_006,Early,School of Design,3,Medium,7.06,2024-08-17,Creative Coding,Faculty,Saturday,Morning (9-11 AM),90,Offline,3,Medium,58,1,0.0,0
STU_0005,EVT_009,Early,School of Design,3,Medium,7.06,2024-08-23,Career Guidance,Industry,Friday,Afternoon (2-4 PM),60,Offline,1,High,76,1,1.0,1
STU_0005,EVT_012,Early,School of Design,3,Medium,7.06,2024-08-28,Design Thinking,Student,Wednesday,Evening (5-7 PM),60,Offline,2,Medium,83,1,1.0,2
STU_0005,EVT_020,Early,School of Design,3,Medium,7.06,2024-09-09,Machine Learning,Alumni,Monday,Afternoon (2-4 PM),120,Online,2,High,93,1,1.0,3
STU_0005,EVT_024,Late,School of Design,3,Medium,7.06,2024-09-17,Career Guidance,Faculty,Tuesday,Afternoon (2-4 PM),90,Offline,3,Medium,66,1,1.0,4
STU_0005,EVT_029,Early,School of Design,3,Medium,7.06,2024-09-25,Career Guidance,Alumni,Wednesday,Afternoon (2-4 PM),150,Online,3,Medium,96,1,1.0,5
STU_0005,EVT_035,On-time,School of Design,3,Medium,7.06,2024-10-06,Branding & Identity,Industry,Sunday,Afternoon (2-4 PM),90,Offline,3,High,94,1,1.0,6
STU_0005,EVT_038,On-time,School of Design,3,Medium,7.06,2024-10-13,Web Development,Industry,Sunday,Morning (9-11 AM),150,Online,2,High,70,1,1.0,7
STU_0005,EVT_039,On-time,School of Design,3,Medium,7.06,2024-10-15,Web Development,Faculty,Tuesday,Afternoon (2-4 PM),90,Online,3,Medium,98,0,1.0,8
STU_0005,EVT_042,On-time,School of Design,3,Medium,7.06,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,0.889,9
STU_0005,EVT_043,On-time,School of Design,3,Medium,7.06,2024-10-26,Sound Design,Student,Saturday,Evening (5-7 PM),120,Online,2,Low,83,0,0.9,10
STU_0005,EVT_045,On-time,School of Design,3,Medium,7.06,2024-10-30,Product Management,Alumni,Wednesday,Evening (5-7 PM),120,Online,2,Low,122,0,0.818,11
STU_0005,EVT_048,Early,School of Design,3,Medium,7.06,2024-11-02,Design Thinking,Student,Saturday,Evening (5-7 PM),120,Offline,1,Medium,63,1,0.75,12
STU_0005,EVT_051,Early,School of Design,3,Medium,7.06,2024-11-08,AI & Deep Learning,Student,Friday,Afternoon (2-4 PM),90,Online,1,High,50,1,0.769,13
STU_0005,EVT_061,Late,School of Design,3,Medium,7.06,2024-12-05,Branding & Identity,Industry,Thursday,Morning (9-11 AM),90,Offline,1,Low,45,0,0.786,14
STU_0005,EVT_066,Late,School of Design,3,Medium,7.06,2024-12-23,AI & Deep Learning,Faculty,Monday,Evening (5-7 PM),120,Offline,1,Medium,119,0,0.733,15
STU_0005,EVT_070,Early,School of Design,3,Medium,7.06,2025-01-10,Data Science,Faculty,Friday,Morning (9-11 AM),120,Online,3,Medium,119,0,0.688,16
STU_0005,EVT_071,On-time,School of Design,3,Medium,7.06,2025-01-19,Product Management,Alumni,Sunday,Afternoon (2-4 PM),90,Offline,2,Medium,92,0,0.647,17
STU_0005,EVT_079,Early,School of Design,3,Medium,7.06,2025-02-23,Product Management,Industry,Sunday,Afternoon (2-4 PM),60,Online,3,Medium,86,1,0.611,18
STU_0005,EVT_082,On-time,School of Design,3,Medium,7.06,2025-02-25,AI & Deep Learning,Faculty,Tuesday,Afternoon (2-4 PM),120,Online,3,High,76,1,0.632,19
STU_0005,EVT_091,Late,School of Design,3,Medium,7.06,2025-03-18,Cybersecurity,Faculty,Tuesday,Morning (9-11 AM),120,Offline,2,High,96,1,0.65,20
STU_0005,EVT_095,Early,School of Design,3,Medium,7.06,2025-04-05,UI/UX Design,Student,Saturday,Morning (9-11 AM),150,Online,1,Low,62,0,0.667,21
STU_0006,EVT_008,On-time,School of Music,4,High,7.49,2024-08-22,Branding & Identity,Student,Thursday,Evening (5-7 PM),60,Offline,3,Medium,122,1,0.0,0
STU_0006,EVT_012,Early,School of Music,4,High,7.49,2024-08-28,Design Thinking,Student,Wednesday,Evening (5-7 PM),60,Offline,2,Medium,83,1,1.0,1
STU_0006,EVT_020,Early,School of Music,4,High,7.49,2024-09-09,Machine Learning,Alumni,Monday,Afternoon (2-4 PM),120,Online,2,High,93,1,1.0,2
STU_0006,EVT_027,On-time,School of Music,4,High,7.49,2024-09-23,Career Guidance,Faculty,Monday,Evening (5-7 PM),90,Offline,2,Low,106,1,1.0,3
STU_0006,EVT_029,On-time,School of Music,4,High,7.49,2024-09-25,Career Guidance,Alumni,Wednesday,Afternoon (2-4 PM),150,Online,3,Medium,96,1,1.0,4
STU_0006,EVT_042,On-time,School of Music,4,High,7.49,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,1.0,5
STU_0006,EVT_047,On-time,School of Music,4,High,7.49,2024-11-01,Machine Learning,Industry,Friday,Afternoon (2-4 PM),120,Online,3,High,86,1,1.0,6
STU_0006,EVT_053,Late,School of Music,4,High,7.49,2024-11-09,Music Production,Industry,Saturday,Afternoon (2-4 PM),60,Offline,3,Low,123,1,1.0,7
STU_0006,EVT_061,On-time,School of Music,4,High,7.49,2024-12-05,Branding & Identity,Industry,Thursday,Morning (9-11 AM),90,Offline,1,Low,45,1,1.0,8
STU_0006,EVT_065,Late,School of Music,4,High,7.49,2024-12-21,Web Development,Faculty,Saturday,Afternoon (2-4 PM),90,Online,1,Low,52,1,1.0,9
STU_0006,EVT_074,Late,School of Music,4,High,7.49,2025-02-12,UI/UX Design,Faculty,Wednesday,Evening (5-7 PM),90,Offline,1,Low,124,0,1.0,10
STU_0006,EVT_079,On-time,School of Music,4,High,7.49,2025-02-23,Product Management,Industry,Sunday,Afternoon (2-4 PM),60,Online,3,Medium,86,1,0.909,11
STU_0006,EVT_092,On-time,School of Music,4,High,7.49,2025-03-20,Product Management,Student,Thursday,Evening (5-7 PM),90,Online,1,High,104,1,0.917,12
STU_0006,EVT_094,On-time,School of Music,4,High,7.49,2025-03-30,Creative Coding,Student,Sunday,Evening (5-7 PM),90,Offline,3,Medium,53,0,0.923,13
STU_0007,EVT_004,Late,School of Technology,5,Low,8.0,2024-08-13,Product Management,Alumni,Tuesday,Evening (5-7 PM),90,Offline,3,High,82,1,0.0,0
STU_0007,EVT_008,On-time,School of Technology,5,Low,8.0,2024-08-22,Branding & Identity,Student,Thursday,Evening (5-7 PM),60,Offline,3,Medium,122,1,1.0,1
STU_0007,EVT_009,On-time,School of Technology,5,Low,8.0,2024-08-23,Career Guidance,Industry,Friday,Afternoon (2-4 PM),60,Offline,1,High,76,1,1.0,2
STU_0007,EVT_011,On-time,School of Technology,5,Low,8.0,2024-08-28,Career Guidance,Faculty,Wednesday,Afternoon (2-4 PM),60,Online,3,High,111,1,1.0,3
STU_0007,EVT_012,On-time,School of Technology,5,Low,8.0,2024-08-28,Design Thinking,Student,Wednesday,Evening (5-7 PM),60,Offline,2,Medium,83,1,1.0,4
STU_0007,EVT_016,On-time,School of Technology,5,Low,8.0,2024-09-05,Sound Design,Student,Thursday,Morning (9-11 AM),120,Offline,3,Medium,51,1,1.0,5
STU_0007,EVT_017,On-time,School of Technology,5,Low,8.0,2024-09-05,Cloud Computing,Industry,Thursday,Morning (9-11 AM),150,Offline,2,High,117,1,1.0,6
STU_0007,EVT_026,Early,School of Technology,5,Low,8.0,2024-09-22,Career Guidance,Faculty,Sunday,Evening (5-7 PM),90,Offline,3,Medium,41,1,1.0,7
STU_0007,EVT_029,On-time,School of Technology,5,Low,8.0,2024-09-25,Career Guidance,Alumni,Wednesday,Afternoon (2-4 PM),150,Online,3,Medium,96,1,1.0,8
STU_0007,EVT_039,Late,School of Technology,5,Low,8.0,2024-10-15,Web Development,Faculty,Tuesday,Afternoon (2-4 PM),90,Online,3,Medium,98,0,1.0,9
STU_0007,EVT_044,Late,School of Technology,5,Low,8.0,2024-10-27,Branding & Identity,Alumni,Sunday,Morning (9-11 AM),120,Offline,3,High,121,1,0.9,10
STU_0007,EVT_046,On-time,School of Technology,5,Low,8.0,2024-10-31,Creative Coding,Alumni,Thursday,Afternoon (2-4 PM),60,Offline,3,High,93,1,0.909,11
STU_0007,EVT_049,Early,School of Technology,5,Low,8.0,2024-11-04,AI & Deep Learning,Alumni,Monday,Evening (5-7 PM),120,Offline,3,High,83,1,0.917,12
STU_0007,EVT_064,Early,School of Technology,5,Low,8.0,2024-12-20,Cybersecurity,Alumni,Friday,Afternoon (2-4 PM),180,Offline,3,Medium,44,1,0.923,13
STU_0007,EVT_065,On-time,School of Technology,5,Low,8.0,2024-12-21,Web Development,Faculty,Saturday,Afternoon (2-4 PM),90,Online,1,Low,52,1,0.929,14
STU_0007,EVT_069,On-time,School of Technology,5,Low,8.0,2025-01-05,Music Production,Student,Sunday,Evening (5-7 PM),60,Online,2,Medium,88,0,0.933,15
STU_0007,EVT_071,On-time,School of Technology,5,Low,8.0,2025-01-19,Product Management,Alumni,Sunday,Afternoon (2-4 PM),90,Offline,2,Medium,92,1,0.875,16
STU_0007,EVT_078,Early,School of Technology,5,Low,8.0,2025-02-19,Product Management,Industry,Wednesday,Afternoon (2-4 PM),90,Offline,1,Medium,123,0,0.882,17
STU_0007,EVT_081,Early,School of Technology,5,Low,8.0,2025-02-24,Music Production,Faculty,Monday,Evening (5-7 PM),90,Offline,1,High,103,0,0.833,18
STU_0007,EVT_082,On-time,School of Technology,5,Low,8.0,2025-02-25,AI & Deep Learning,Faculty,Tuesday,Afternoon (2-4 PM),120,Online,3,High,76,1,0.789,19
STU_0007,EVT_087,Early,School of Technology,5,Low,8.0,2025-03-08,Design Thinking,Faculty,Saturday,Morning (9-11 AM),180,Online,3,High,65,0,0.8,20
STU_0007,EVT_090,On-time,School of Technology,5,Low,8.0,2025-03-16,AI & Deep Learning,Industry,Sunday,Morning (9-11 AM),90,Online,2,Low,44,0,0.762,21
STU_0007,EVT_100,On-time,School of Technology,5,Low,8.0,2025-04-27,Branding & Identity,Industry,Sunday,Morning (9-11 AM),90,Offline,3,Low,48,1,0.727,22
STU_0008,EVT_011,Early,School of Business,2,High,5.9,2024-08-28,Career Guidance,Faculty,Wednesday,Afternoon (2-4 PM),60,Online,3,High,111,1,0.0,0
STU_0008,EVT_018,Late,School of Business,2,High,5.9,2024-09-07,Career Guidance,Alumni,Saturday,Evening (5-7 PM),120,Offline,1,Medium,58,0,1.0,1
STU_0008,EVT_019,On-time,School of Business,2,High,5.9,2024-09-08,Sound Design,Faculty,Sunday,Morning (9-11 AM),120,Offline,2,Medium,97,0,0.5,2
STU_0008,EVT_025,Late,School of Business,2,High,5.9,2024-09-20,Career Guidance,Student,Friday,Evening (5-7 PM),120,Offline,2,Low,103,0,0.333,3
STU_0008,EVT_031,Early,School of Business,2,High,5.9,2024-09-27,Sound Design,Student,Friday,Evening (5-7 PM),120,Online,3,Medium,74,1,0.25,4
STU_0008,EVT_042,On-time,School of Business,2,High,5.9,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,0.4,5
STU_0008,EVT_051,On-time,School of Business,2,High,5.9,2024-11-08,AI & Deep Learning,Student,Friday,Afternoon (2-4 PM),90,Online,1,High,50,1,0.5,6
STU_0008,EVT_053,Late,School of Business,2,High,5.9,2024-11-09,Music Production,Industry,Saturday,Afternoon (2-4 PM),60,Offline,3,Low,123,1,0.571,7
STU_0008,EVT_062,On-time,School of Business,2,High,5.9,2024-12-06,Entrepreneurship,Industry,Friday,Morning (9-11 AM),90,Offline,3,Low,58,1,0.625,8
STU_0008,EVT_070,Early,School of Business,2,High,5.9,2025-01-10,Data Science,Faculty,Friday,Morning (9-11 AM),120,Online,3,Medium,119,1,0.667,9
STU_0008,EVT_078,On-time,School of Business,2,High,5.9,2025-02-19,Product Management,Industry,Wednesday,Afternoon (2-4 PM),90,Offline,1,Medium,123,1,0.7,10
STU_0008,EVT_092,On-time,School of Business,2,High,5.9,2025-03-20,Product Management,Student,Thursday,Evening (5-7 PM),90,Online,1,High,104,1,0.727,11
STU_0008,EVT_093,Late,School of Business,2,High,5.9,2025-03-22,Branding & Identity,Faculty,Saturday,Evening (5-7 PM),120,Offline,2,Low,64,0,0.75,12
STU_0008,EVT_096,On-time,School of Business,2,High,5.9,2025-04-09,Web Development,Alumni,Wednesday,Afternoon (2-4 PM),120,Offline,2,High,118,1,0.692,13
STU_0009,EVT_004,On-time,School of Technology,3,Medium,5.85,2024-08-13,Product Management,Alumni,Tuesday,Evening (5-7 PM),90,Offline,3,High,82,1,0.0,0
STU_0009,EVT_017,On-time,School of Technology,3,Medium,5.85,2024-09-05,Cloud Computing,Industry,Thursday,Morning (9-11 AM),150,Offline,2,High,117,1,1.0,1
STU_0009,EVT_034,Early,School of Technology,3,Medium,5.85,2024-10-05,Creative Coding,Faculty,Saturday,Afternoon (2-4 PM),120,Online,1,Medium,66,0,1.0,2
STU_0009,EVT_042,On-time,School of Technology,3,Medium,5.85,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,0.667,3
STU_0009,EVT_053,On-time,School of Technology,3,Medium,5.85,2024-11-09,Music Production,Industry,Saturday,Afternoon (2-4 PM),60,Offline,3,Low,123,1,0.75,4
STU_0009,EVT_065,On-time,School of Technology,3,Medium,5.85,2024-12-21,Web Development,Faculty,Saturday,Afternoon (2-4 PM),90,Online,1,Low,52,0,0.8,5
STU_0009,EVT_066,Early,School of Technology,3,Medium,5.85,2024-12-23,AI & Deep Learning,Faculty,Monday,Evening (5-7 PM),120,Offline,1,Medium,119,1,0.667,6
STU_0009,EVT_069,Late,School of Technology,3,Medium,5.85,2025-01-05,Music Production,Student,Sunday,Evening (5-7 PM),60,Online,2,Medium,88,0,0.714,7
STU_0009,EVT_070,Late,School of Technology,3,Medium,5.85,2025-01-10,Data Science,Faculty,Friday,Morning (9-11 AM),120,Online,3,Medium,119,0,0.625,8
STU_0009,EVT_073,On-time,School of Technology,3,Medium,5.85,2025-02-11,Sound Design,Faculty,Tuesday,Afternoon (2-4 PM),90,Offline,3,Low,100,1,0.556,9
STU_0009,EVT_084,Late,School of Technology,3,Medium,5.85,2025-02-28,Sound Design,Faculty,Friday,Afternoon (2-4 PM),60,Online,2,High,40,0,0.6,10
STU_0009,EVT_093,Late,School of Technology,3,Medium,5.85,2025-03-22,Branding & Identity,Faculty,Saturday,Evening (5-7 PM),120,Offline,2,Low,64,0,0.545,11
STU_0010,EVT_004,Late,School of Technology,2,Low,8.64,2024-08-13,Product Management,Alumni,Tuesday,Evening (5-7 PM),90,Offline,3,High,82,1,0.0,0
STU_0010,EVT_010,On-time,School of Technology,2,Low,8.64,2024-08-23,Digital Marketing,Industry,Friday,Afternoon (2-4 PM),180,Offline,3,Medium,43,1,1.0,1
STU_0010,EVT_020,On-time,School of Technology,2,Low,8.64,2024-09-09,Machine Learning,Alumni,Monday,Afternoon (2-4 PM),120,Online,2,High,93,1,1.0,2
STU_0010,EVT_031,On-time,School of Technology,2,Low,8.64,2024-09-27,Sound Design,Student,Friday,Evening (5-7 PM),120,Online,3,Medium,74,0,1.0,3
STU_0010,EVT_035,On-time,School of Technology,2,Low,8.64,2024-10-06,Branding & Identity,Industry,Sunday,Afternoon (2-4 PM),90,Offline,3,High,94,1,0.75,4
STU_0010,EVT_044,On-time,School of Technology,2,Low,8.64,2024-10-27,Branding & Identity,Alumni,Sunday,Morning (9-11 AM),120,Offline,3,High,121,1,0.8,5
STU_0010,EVT_046,On-time,School of Technology,2,Low,8.64,2024-10-31,Creative Coding,Alumni,Thursday,Afternoon (2-4 PM),60,Offline,3,High,93,0,0.833,6
STU_0010,EVT_047,Early,School of Technology,2,Low,8.64,2024-11-01,Machine Learning,Industry,Friday,Afternoon (2-4 PM),120,Online,3,High,86,1,0.714,7
STU_0010,EVT_061,On-time,School of Technology,2,Low,8.64,2024-12-05,Branding & Identity,Industry,Thursday,Morning (9-11 AM),90,Offline,1,Low,45,0,0.75,8
STU_0010,EVT_079,On-time,School of Technology,2,Low,8.64,2025-02-23,Product Management,Industry,Sunday,Afternoon (2-4 PM),60,Online,3,Medium,86,1,0.667,9
STU_0010,EVT_080,Late,School of Technology,2,Low,8.64,2025-02-24,Web Development,Faculty,Monday,Evening (5-7 PM),60,Offline,3,Medium,83,0,0.7,10
STU_0010,EVT_085,Early,School of Technology,2,Low,8.64,2025-02-28,Branding & Identity,Student,Friday,Morning (9-11 AM),120,Offline,3,Medium,106,1,0.636,11
STU_0010,EVT_089,Early,School of Technology,2,Low,8.64,2025-03-12,Sound Design,Faculty,Wednesday,Morning (9-11 AM),120,Offline,1,High,63,0,0.667,12
STU_0010,EVT_092,On-time,School of Technology,2,Low,8.64,2025-03-20,Product Management,Student,Thursday,Evening (5-7 PM),90,Online,1,High,104,0,0.615,13
STU_0010,EVT_095,On-time,School of Technology,2,Low,8.64,2025-04-05,UI/UX Design,Student,Saturday,Morning (9-11 AM),150,Online,1,Low,62,0,0.571,14
STU_0010,EVT_100,On-time,School of Technology,2,Low,8.64,2025-04-27,Branding & Identity,Industry,Sunday,Morning (9-11 AM),90,Offline,3,Low,48,0,0.533,15
STU_0011,EVT_006,Early,School of Business,8,Low,6.66,2024-08-17,Creative Coding,Faculty,Saturday,Morning (9-11 AM),90,Offline,3,Medium,58,0,0.0,0
